2018-11-01 02:06:53 startup archives unpack
2018-11-01 02:06:53 upgrade phpmyadmin:all 4:4.6.6-5 4:4.6.6-5
2018-11-01 02:06:53 status half-configured phpmyadmin:all 4:4.6.6-5
2018-11-01 02:06:55 status unpacked phpmyadmin:all 4:4.6.6-5
2018-11-01 02:06:55 status half-installed phpmyadmin:all 4:4.6.6-5
2018-11-01 02:06:55 status triggers-pending hicolor-icon-theme:all 0.17-2
2018-11-01 02:06:55 status triggers-pending man-db:amd64 2.8.3-2
2018-11-01 02:06:59 status half-installed phpmyadmin:all 4:4.6.6-5
2018-11-01 02:07:00 status unpacked phpmyadmin:all 4:4.6.6-5
2018-11-01 02:07:00 status unpacked phpmyadmin:all 4:4.6.6-5
2018-11-01 02:07:01 startup packages configure
2018-11-01 02:07:01 configure phpmyadmin:all 4:4.6.6-5 <none>
2018-11-01 02:07:01 status unpacked phpmyadmin:all 4:4.6.6-5
2018-11-01 02:07:01 status unpacked phpmyadmin:all 4:4.6.6-5
2018-11-01 02:07:01 status unpacked phpmyadmin:all 4:4.6.6-5
2018-11-01 02:07:01 status unpacked phpmyadmin:all 4:4.6.6-5
2018-11-01 02:07:01 status unpacked phpmyadmin:all 4:4.6.6-5
2018-11-01 02:07:01 status unpacked phpmyadmin:all 4:4.6.6-5
2018-11-01 02:07:01 status unpacked phpmyadmin:all 4:4.6.6-5
2018-11-01 02:07:01 status unpacked phpmyadmin:all 4:4.6.6-5
2018-11-01 02:07:01 status half-configured phpmyadmin:all 4:4.6.6-5
2018-11-01 02:07:02 status installed phpmyadmin:all 4:4.6.6-5
2018-11-01 02:07:02 trigproc man-db:amd64 2.8.3-2 <none>
2018-11-01 02:07:02 status half-configured man-db:amd64 2.8.3-2
2018-11-01 02:07:03 status installed man-db:amd64 2.8.3-2
2018-11-01 02:07:03 trigproc hicolor-icon-theme:all 0.17-2 <none>
2018-11-01 02:07:03 status half-configured hicolor-icon-theme:all 0.17-2
2018-11-01 02:07:03 status installed hicolor-icon-theme:all 0.17-2
2018-11-01 16:46:58 startup archives unpack
2018-11-01 16:46:58 install net-tools:amd64 <none> 1.60+git20161116.90da8a0-1ubuntu1
2018-11-01 16:46:58 status half-installed net-tools:amd64 1.60+git20161116.90da8a0-1ubuntu1
2018-11-01 16:46:58 status triggers-pending man-db:amd64 2.8.3-2
2018-11-01 16:47:04 status unpacked net-tools:amd64 1.60+git20161116.90da8a0-1ubuntu1
2018-11-01 16:47:04 status unpacked net-tools:amd64 1.60+git20161116.90da8a0-1ubuntu1
2018-11-01 16:47:05 startup packages configure
2018-11-01 16:47:05 trigproc man-db:amd64 2.8.3-2 <none>
2018-11-01 16:47:05 status half-configured man-db:amd64 2.8.3-2
2018-11-01 16:47:08 status installed man-db:amd64 2.8.3-2
2018-11-01 16:47:09 configure net-tools:amd64 1.60+git20161116.90da8a0-1ubuntu1 <none>
2018-11-01 16:47:09 status unpacked net-tools:amd64 1.60+git20161116.90da8a0-1ubuntu1
2018-11-01 16:47:09 status half-configured net-tools:amd64 1.60+git20161116.90da8a0-1ubuntu1
2018-11-01 16:47:09 status installed net-tools:amd64 1.60+git20161116.90da8a0-1ubuntu1
2018-11-01 20:34:20 startup archives unpack
2018-11-01 20:34:20 install liberror-perl:all <none> 0.17025-1
2018-11-01 20:34:20 status half-installed liberror-perl:all 0.17025-1
2018-11-01 20:34:20 status triggers-pending man-db:amd64 2.8.3-2
2018-11-01 20:34:20 status unpacked liberror-perl:all 0.17025-1
